"PROBEID","drug","logFC","adjP","direction","gene_id"
"201328_at","Vorinostat",0.327549078329066,0.00166746931700788,"Up","ETS2"
"201330_at","Vorinostat",0.597524108633169,1.33365658992182e-20,"Up","RARS1"
"201331_s_at","Vorinostat",-0.271679863812332,0.00151217531909204,"Down","STAT6"
"201332_s_at","Vorinostat",-0.165276629859119,0.0241437822547609,"Down","STAT6"
"201333_s_at","Vorinostat",0.129619914111449,0.00867450746711365,"Up","ARHGEF12"
"201334_s_at","Vorinostat",0.290891830578601,0.00674354915815103,"Up","ARHGEF12"
"201335_s_at","Vorinostat",0.154997903177661,6.84914568523949e-06,"Up","ARHGEF12"
"201336_at","Vorinostat",0.37804107618416,6.99988221835993e-09,"Up","VAMP3"
"201337_s_at","Vorinostat",0.376750085927018,9.16233319520582e-06,"Up","VAMP3"
"201338_x_at","Vorinostat",-0.229379583728259,0.00159242903030614,"Down","GTF3A"
"201341_at","Vorinostat",-0.687975786237214,4.09212908143057e-09,"Down","ENC1"
"201343_at","Vorinostat",-0.177291427447101,0.00790712035485106,"Down","UBE2D2"
"201346_at","Vorinostat",0.223405737861433,0.0255607269154584,"Up","ADIPOR2"
"201348_at","Vorinostat",0.655639923589655,4.29249494908539e-07,"Up","GPX3"
"201349_at","Vorinostat",0.269590011578491,0.00080173792729204,"Up","NHERF1"
"201350_at","Vorinostat",-0.249661036924999,2.07210172770584e-05,"Down","FLOT2"
"201353_s_at","Vorinostat",0.260181836017799,0.000115545882869677,"Up","BAZ2A"
"201354_s_at","Vorinostat",0.163754204607701,0.000393495114338453,"Up","BAZ2A"
"201355_s_at","Vorinostat",0.0965804538075922,0.00239745451063553,"Up","BAZ2A"
"201356_at","Vorinostat",-0.357630782121272,1.41628675851856e-08,"Down","SF3A1"
"201357_s_at","Vorinostat",-0.243910193164613,2.37771040608323e-07,"Down","SF3A1"
"201358_s_at","Vorinostat",0.295544508818117,4.09040956288251e-07,"Up","COPB1"
"201359_at","Vorinostat",0.572443881910166,5.73226970657507e-20,"Up","COPB1"
"201360_at","Vorinostat",-0.453597882190204,0.00152006400275001,"Down","CST3"
"201361_at","Vorinostat",-0.38238049138191,3.68437259030314e-06,"Down","TMEM109"
"201363_s_at","Vorinostat",-0.257877191789042,0.00622796989323193,"Down","IVNS1ABP"
"201365_at","Vorinostat",0.163879047432575,0.00229138304922392,"Up","OAZ2"
"201366_at","Vorinostat",-0.249304309175704,0.00106092368764766,"Down","ANXA7"
"201368_at","Vorinostat",-0.619036033970753,1.91200164398622e-12,"Down","ZFP36L2"
"201370_s_at","Vorinostat",-0.145770125932434,2.92181592920843e-05,"Down","CUL3"
"201371_s_at","Vorinostat",0.197915153790051,0.000105939087594642,"Up","CUL3"
"201374_x_at","Vorinostat",0.177890678145657,0.000247433011509404,"Up","PPP2CB"
"201375_s_at","Vorinostat",0.203675387921749,0.00608463480543815,"Up","PPP2CB"
"201377_at","Vorinostat",-0.282709408458376,2.42286701294829e-05,"Down","UBAP2L"
"201379_s_at","Vorinostat",0.272999215186056,0.000776081151868253,"Up","TPD52L2"
"201380_at","Vorinostat",-0.469942100376666,1.30235833306962e-07,"Down","CRTAP"
"201381_x_at","Vorinostat",0.289855509753628,9.49261597198747e-07,"Up","CACYBP"
"201385_at","Vorinostat",-0.153845942366043,0.0448202916178373,"Down","DHX15"
"201386_s_at","Vorinostat",-0.156040230269636,0.015593802949725,"Down","DHX15"
"201388_at","Vorinostat",-0.321277634295105,0.000112337339834883,"Down","PSMD3"
"201390_s_at","Vorinostat",0.315277184011066,0.000178659009616495,"Up","CSNK2B"
"201392_s_at","Vorinostat",0.482660945628023,1.01418157460104e-08,"Up","IGF2R"
"201393_s_at","Vorinostat",0.389987729738795,2.16432413692435e-06,"Up","IGF2R"
"201394_s_at","Vorinostat",-0.270709864712453,3.7862081852363e-06,"Down","RBM5"
